deal_id;target_country;location;investor_name;investor_country;intention;year;negotiation_status;implementation_status;intended_size;nature_of_deal;contract_farming
4330;Sudan;White Nile;;;;;;;;;
4331;Egypt;Egypt;;;;;;;;;
4336;Russian Federation;Kursk;;;;;;;;;
4337;Russian Federation;Ostrogozhsk;;;;;;;;;
4338;Russian Federation;Tambov;;;;;;;;;
4339;Nigeria;Cross River;;;;;;;;;
4341;Ghana;Ashanti;;;;;;;;;
4348;Ghana;Ashanti;;;;;;;;;
4354;Ghana;Afram Plains;;;;;;;;;
4359;Ghana;Atebubu;;;;;;;;;
4360;Ghana;Kumawu;;;;;;;;;
4362;Ghana;Atebubu;;;;;;;;;
4363;Mozambique;Chimoio;;;;;;;;;
4365;Zambia;Chembe;;;;;;;;;
4366;Nigeria;Edo;;;;;;;;;
4378;Ethiopia;Illubabor;;;;;;;;;
4379;Ethiopia;Benishangul-Gumuz;;;;;;;;;
4380;Ethiopia;Southern Nations;;;;;;;;;
4381;Ethiopia;Oromia;;;;;;;;;
4384;Malawi;Salima;;;;;;;;;
4389;Botswana;Pandamatenga;;;;;;;;;
4391;Nigeria;Hadejia;;;;;;;;;
4392;Zambia;Kafue;;;;;;;;;
4394;Zambia;Sinazongwe;;;;;;;;;
4396;Zambia;Mkushi;;;;;;;;;
4398;Zambia;Chibombo;;;;;;;;;
4399;Zambia;Chibombo;;;;;;;;;
4402;Nigeria;Edo;;;;;;;;;
4405;Zambia;Choma;;;;;;;;;
4407;Zambia;Choma;;;;;;;;;
4411;Romania;Tatanir 827053;;;;;;;;;
4412;Romania;Mihai Bravu;;;;;;;;;
4413;Romania;Buziaș 305100;;;;;;;;;
4414;Romania;Oloşag;;;;;;;;;
4415;Romania;Sacu;;;;;;;;;
4416;Romania;Ciuguzel;;;;;;;;;
4417;Romania;Șipet;;;;;;;;;
4418;Romania;Făcăeni;;;;;;;;;
4419;Romania;Oloşag;;;;;;;;;
4420;Cambodia;Stueng Hav;;;;;;;;;
4421;Cambodia;Kratié;;;;;;;;;
4422;Cambodia;Mondol Kiri;;;;;;;;;
4423;Cambodia;Kampong Speu​;;;;;;;;;
4424;Cambodia;Mondulkiri;;;;;;;;;
4425;Cambodia;Koh Kong;;;;;;;;;
4426;Cambodia;Botum Sakor;;;;;;;;;
4427;Cambodia;Botum Sakor;;;;;;;;;
4428;Cambodia;Chhuk;;;;;;;;;
4429;Cambodia;Prey Nob;;;;;;;;;
4430;Guinea;Guinea;;;;;;;;;
4431;Ghana;Ghana;;;;;;;;;
4432;Democratic Republic of the Congo;Kinshasa;;;;;;;;;
4433;Malawi;Dwangwa River;;;;;;;;;
4434;Burkina Faso;Leo;;;;;;;;;
4435;Argentina;Quemú Quemú;;;;;;;;;
4436;Cambodia;Phum Reaksmei Sameakki;;;;;;;;;
4437;Cambodia;Kampong Seila;;;;;;;;;
4438;Cambodia;Ream National Park;;;;;;;;;
4439;Cambodia;Kampong Seila;;;;;;;;;
4441;Cambodia;Veal Veaeng;;;;;;;;;
4442;Cambodia;Veal Veaeng;;;;;;;;;
4444;Cambodia;Rovieng;;;;;;;;;
4445;Cambodia;Srayang;;;;;;;;;
4447;Cambodia;Boeng Peae Wildlife Sanctuary;;;;;;;;;
4448;Cambodia;Kampong Thom;;;;;;;;;
4449;Cambodia;Kampong Thom;;;;;;;;;
4450;Cambodia;Kratié;;;;;;;;;
4451;Cambodia;Kratié;;;;;;;;;
4453;Cambodia;Chamreun Health Centre;;;;;;;;;
4454;Cambodia;Seda;;;;;;;;;
4455;Cambodia;Ban Taveng;;;;;;;;;
4456;South Africa;Ngcobo;;;;;;;;;
4457;Zambia;Kawambwa;;;;;;;;;
4458;Uganda;Masaka;;;;;;;;;
4459;Zambia;Luena;;;;;;;;;
4460;Argentina;Joaquín V. González;;;;;;;;;
4463;Cameroon;Cameroon;;;;;;;;;
4464;Cameroon;Déhané;;;;;;;;;
4466;South Africa;Umzimkulu;;;;;;;;;
4467;Côte d'Ivoire;Kouassi-Prikro I;;;;;;;;;
4468;Indonesia;Kutai Kartanegara;;;;;;;;;
4470;Indonesia;Hambau;;;;;;;;;
4471;Indonesia;Lumbis;;;;;;;;;
4473;Philippines;Casiguran;;;;;;;;;
4474;Indonesia;East Kalimantan;;;;;;;;;
4475;Indonesia;Barito Kuala;;;;;;;;;
4476;Indonesia;Sangkulirang;;;;;;;;;
4478;Argentina;Nueva Población;;;;;;;;;
4479;Paraguay;Nueva Germania;;;;;;;;;
4480;Romania;Cocora;;;;;;;;;
4481;Uganda;Wakiso;;;;;;;;;
4482;Uganda;Kaweweta;;;;;;;;;
4492;Argentina;Hickman;;;;;;;;;
4493;Mozambique;Beira;;;;;;;;;
4495;Mozambique;Lalaua;;;;;;;;;
4496;Democratic Republic of the Congo;Bas Congo;;;;;;;;;
4502;Sierra Leone;Bo;;;;;;;;;
4503;Romania;Amaru;;;;;;;;;
4504;Romania;Oravița;;;;;;;;;
4505;Romania;Videle 145300;;;;;;;;;
4507;United Republic of Tanzania;Morogoro;;;;;;;;;
4509;Romania;Dudeștii Vechi 307150;;;;;;;;;
4510;Mozambique;Gurue;;;;;;;;;
4511;Nigeria;Akotogbo;;;;;;;;;
4512;Zambia;Luapula;;;;;;;;;
4513;Romania;Sânnicolau Mare 305600;;;;;;;;;
4514;Congo;Komono;;;;;;;;;
4519;Guinea;Guinea;;;;;;;;;
4520;Sao Tome and Principe;Porto Alegre;;;;;;;;;
4521;Nigeria;Edo;;;;;;;;;
4522;Sierra Leone;Pujehun;;;;;;;;;
4524;South Africa;Douglas;;;;;;;;;
4525;Egypt;Al Akhioh - Al Salheya;;;;;;;;;
4527;Egypt;Abou Sembel - Al Owaynat;;;;;;;;;
4528;Morocco;Rabat;;;;;;;;;
4531;Egypt;Alexandria Desert Rd;;;;;;;;;
4532;Benin;Benin;;;;;;;;;
4534;Ethiopia;Koka;;;;;;;;;
4535;China;Guangdong;;;;;;;;;
4537;Argentina;San Miguel;;;;;;;;;
4538;China;Shandong;;;;;;;;;
4539;Argentina;Concepción;;;;;;;;;
4541;China;Guizhou;;;;;;;;;
4542;China;Henan;;;;;;;;;
4543;China;Jiangxi;;;;;;;;;
4544;Rwanda;Gisenyi;;;;;;;;;
4545;Russian Federation;Khabarovsk;;;;;;;;;
4546;Cambodia;Preah Vihear;;;;;;;;;
4547;Argentina;La Paz Department;;;;;;;;;
4554;Angola;Bie;;;;;;;;;
4555;Nigeria;Edo;;;;;;;;;
4556;Romania;Arad;;;;;;;;;
4557;Mongolia;Halhin Gol;;;;;;;;;
4558;Argentina;General Ballivián;;;;;;;;;
4559;Paraguay;Tacuati;;;;;;;;;
4560;Malawi;Northern Region;;;;;;;;;
4561;Zambia;Mpongwe;;;;;;;;;
4562;Nigeria;Osun;;;;;;;;;
4563;Romania;Vlădeni;;;;;;;;;
4565;Angola;Angola;;;;;;;;;
4566;Kenya;South Horr;;;;;;;;;
4567;Argentina;Tartagal;;;;;;;;;
4568;Paraguay;San Estanislao;;;;;;;;;
4571;Zambia;Muchinga;;;;;;;;;
4574;Brazil;São Paulo - State of São Paulo;;;;;;;;;
4575;Honduras;Trujillo;;;;;;;;;
